onset duration sample trial eventIdentifier StimulusOn StimulusOff TargetOn TargetOff SFIX EFIX SSACC ESACC num_trial num_block dir_target proba switch
0.0 2.444 871760 1 "TRIALID 0" 872423 872986 873287 874067 "[872321, 872696, 873541, 873704, 874063]" "[872687.0, 873501.0, 873669.0, 874041.0, 874172.0]" "[872688, 873502, 873670, 874042]" "[872695.0, 873540.0, 873703.0, 874062.0]" 1 1 0.0 0.6475235198239354 0.0
3.544 2.39 875304 2 "TRIALID 1" 875883 876484 876784 877565 "[875869, 876053, 877006, 877172]" "[876035.0, 876983.0, 877139.0, 877663.0]" "[876036, 876984, 877140]" "[876052.0, 877005.0, 877171.0]" 2 1 1.0 0.6475235198239354 0.0
7.034 2.451 878794 3 "TRIALID 2" 879399 880031 880331 881113 "[879357, 879598, 880551, 880705]" "[879578.0, 880526.0, 880681.0, 881213.0]" "[879579, 880527, 880682]" "[879597.0, 880550.0, 880704.0]" 3 1 1.0 0.6475235198239354 0.0
10.586 2.542 882346 4 "TRIALID 3" 882944 883690 883990 884762 "[882907, 883214, 884253, 884618]" "[883195.0, 884213.0, 884594.0, 884869.0]" "[883196, 884214, 884595]" "[883213.0, 884252.0, 884617.0]" 4 1 0.0 0.6475235198239354 0.0
14.229 2.653 885989 5 "TRIALID 4" 886595 887429 887729 888511 "[886557, 886776, 887953, 888117, 888271]" "[886763.0, 887928.0, 888095.0, 888242.0, 888610.0]" "[886764, 887929, 888096, 888243]" "[886775.0, 887952.0, 888116.0, 888270.0]" 5 1 1.0 0.6475235198239354 0.0
17.994 2.57 889754 6 "TRIALID 5" 890358 891112 891412 892194 "[890314, 890418, 891650, 891827, 892153]" "[890392.0, 891612.0, 891803.0, 892129.0, 892293.0]" "[890393, 891613, 891804, 892130]" "[890417.0, 891649.0, 891826.0, 892152.0]" 6 1 0.0 0.6475235198239354 0.0
21.664 2.46 893424 7 "TRIALID 6" 894033 894666 894966 895743 "[893984, 894282, 895201, 895394]" "[894261.0, 895162.0, 895361.0, 895852.0]" "[894262, 895163, 895362]" "[894281.0, 895200.0, 895393.0]" 7 1 0.0 0.6475235198239354 0.0
25.224 2.401 896984 8 "TRIALID 7" 897590 898185 898486 899258 "[897549, 897792, 897992, 898706, 899157]" "[897771.0, 897972.0, 898680.0, 899137.0, 899365.0]" "[897772, 897973, 898681, 899138]" "[897791.0, 897991.0, 898705.0, 899156.0]" 8 1 1.0 0.6475235198239354 0.0
28.726 2.422 900486 9 "TRIALID 8" 901092 901691 901992 902774 "[901053, 902225, 902393, 902784]" "[902187.0, 902357.0, 902762.0, 902877.0]" "[902188, 902358, 902763]" "[902224.0, 902392.0, 902783.0]" 9 1 0.0 0.6475235198239354 0.0
32.249 2.63 904009 10 "TRIALID 9" 904607 905425 905725 906507 "[904570, 904818, 905950, 906105]" "[904797.0, 905912.0, 906071.0, 906590.0]" "[904798, 905913, 906072, 906591]" "[904817.0, 905949.0, 906104.0, 906607.0]" 10 1 0.0 0.6475235198239354 0.0
35.98 2.336 907740 11 "TRIALID 10" 908340 908857 909158 909939 "[908301, 908615, 909367, 909525]" "[908596.0, 909343.0, 909500.0, 910044.0]" "[908597, 909344, 909501]" "[908614.0, 909366.0, 909524.0]" 11 1 1.0 0.6475235198239354 0.0
39.417 2.27 911177 12 "TRIALID 11" 911784 912250 912550 913320 "[911744, 912778, 912959]" "[912752.0, 912940.0, 913419.0]" "[912753, 912941]" "[912777.0, 912958.0]" 12 1 1.0 0.6475235198239354 0.0
